Sales by Customer by YearQuarter,Low,High
36983.38,"$25,000","$100,000"
53972.59,"$25,000","$100,000"
2688.75,"$2,000","$5,000"
2306.98,"$2,000","$5,000"
20626.09,"$5,000","$25,000"
58689.83,"$25,000","$100,000"
12856.54,"$5,000","$25,000"
90472.5,"$25,000","$100,000"
20184.93,"$5,000","$25,000"
16587.27,"$5,000","$25,000"
80526.94,"$25,000","$100,000"
25267,"$25,000","$100,000"
1286.61,"$1,000","$2,000"
49997.96,"$25,000","$100,000"
6448.48,"$5,000","$25,000"
35776.27,"$25,000","$100,000"
12341.15,"$5,000","$25,000"
200701.81,"$100,000","$250,000"
14706.32,"$5,000","$25,000"
3141.06,"$2,000","$5,000"
2456.72,"$2,000","$5,000"
14881.2,"$5,000","$25,000"
1245.9,"$1,000","$2,000"
19278.56,"$5,000","$25,000"
12745.52,"$5,000","$25,000"
11967.61,"$5,000","$25,000"
428.13,$1,"$1,000"
6219.16,"$5,000","$25,000"
15241.69,"$5,000","$25,000"
8390.09,"$5,000","$25,000"
7001.13,"$5,000","$25,000"
9600.61,"$5,000","$25,000"
1981.23,"$1,000","$2,000"
22810.33,"$5,000","$25,000"
345.7,$1,"$1,000"
1807.66,"$1,000","$2,000"
2795.98,"$2,000","$5,000"
16246.55,"$5,000","$25,000"
5979.34,"$5,000","$25,000"
102549.31,"$100,000","$250,000"
795.16,$1,"$1,000"
174967.42,"$100,000","$250,000"
3435.69,"$2,000","$5,000"
4910.72,"$2,000","$5,000"
937.42,$1,"$1,000"
4818.26,"$2,000","$5,000"
459.16,$1,"$1,000"
279152.64,"$250,000","$500,000"
817.89,$1,"$1,000"
4250.46,"$2,000","$5,000"
15921.38,"$5,000","$25,000"
3374.35,"$2,000","$5,000"
772.8,$1,"$1,000"
50667.8,"$25,000","$100,000"
1433.9,"$1,000","$2,000"
13680.56,"$5,000","$25,000"
465.26,$1,"$1,000"
2950.47,"$2,000","$5,000"
2709.62,"$2,000","$5,000"
22878.9,"$5,000","$25,000"
7343.37,"$5,000","$25,000"
11096.16,"$5,000","$25,000"
1344.18,"$1,000","$2,000"
2537.46,"$2,000","$5,000"
23005.87,"$5,000","$25,000"
25360.58,"$25,000","$100,000"
86180.78,"$25,000","$100,000"
10441.16,"$5,000","$25,000"
11660.4,"$5,000","$25,000"
425.2,$1,"$1,000"
259914.57,"$250,000","$500,000"
41459.75,"$25,000","$100,000"
16813.78,"$5,000","$25,000"
30271.62,"$25,000","$100,000"
4054.76,"$2,000","$5,000"
107203.97,"$100,000","$250,000"
90223.49,"$25,000","$100,000"
755.18,$1,"$1,000"
2670.85,"$2,000","$5,000"
651.32,$1,"$1,000"
266.48,$1,"$1,000"
7433.85,"$5,000","$25,000"
2906.29,"$2,000","$5,000"
30.26,$1,"$1,000"
8755.2,"$5,000","$25,000"
4754.62,"$2,000","$5,000"
6281.49,"$5,000","$25,000"
230.36,$1,"$1,000"
2671.96,"$2,000","$5,000"
2853.12,"$2,000","$5,000"
524.82,$1,"$1,000"
3006.5,"$2,000","$5,000"
120506.11,"$100,000","$250,000"
14968.91,"$5,000","$25,000"
754.29,$1,"$1,000"
8945.92,"$5,000","$25,000"
3131.47,"$2,000","$5,000"
6198.38,"$5,000","$25,000"
4080.11,"$2,000","$5,000"
10189.51,"$5,000","$25,000"
54930.02,"$25,000","$100,000"
35324.92,"$25,000","$100,000"
9167.44,"$5,000","$25,000"
1069.66,"$1,000","$2,000"
22547.01,"$5,000","$25,000"
42197.69,"$25,000","$100,000"
420.12,$1,"$1,000"
16750.39,"$5,000","$25,000"
5108.58,"$5,000","$25,000"
52128.2,"$25,000","$100,000"
410.63,$1,"$1,000"
300235.78,"$250,000","$500,000"
4321.54,"$2,000","$5,000"
291.14,$1,"$1,000"
6172.76,"$5,000","$25,000"
1124.03,"$1,000","$2,000"
3189.15,"$2,000","$5,000"
16076.16,"$5,000","$25,000"
232892.61,"$100,000","$250,000"
6760.59,"$5,000","$25,000"
565.16,$1,"$1,000"
303.39,$1,"$1,000"
1369.51,"$1,000","$2,000"
9295.26,"$5,000","$25,000"
68.09,$1,"$1,000"
88.04,$1,"$1,000"
7273.01,"$5,000","$25,000"
2369.01,"$2,000","$5,000"
29623.33,"$25,000","$100,000"
8111.62,"$5,000","$25,000"
4613.71,"$2,000","$5,000"
2389.98,"$2,000","$5,000"
1714.11,"$1,000","$2,000"
15364.68,"$5,000","$25,000"
61.83,$1,"$1,000"
9500.77,"$5,000","$25,000"
14772.96,"$5,000","$25,000"
873.62,$1,"$1,000"
3593.58,"$2,000","$5,000"
59122.01,"$25,000","$100,000"
8005.77,"$5,000","$25,000"
-791.41,"($99,000)",$1
66.09,$1,"$1,000"
2983.83,"$2,000","$5,000"
31345.08,"$25,000","$100,000"
312.55,$1,"$1,000"
3207.72,"$2,000","$5,000"
855.94,$1,"$1,000"
69.34,$1,"$1,000"
131.4,$1,"$1,000"
325.39,$1,"$1,000"
3038.76,"$2,000","$5,000"
973.66,$1,"$1,000"
1891.91,"$1,000","$2,000"
7055.01,"$5,000","$25,000"
229.27,$1,"$1,000"
49483.55,"$25,000","$100,000"
8508.8,"$5,000","$25,000"
11638.34,"$5,000","$25,000"
8165.32,"$5,000","$25,000"
596.52,$1,"$1,000"
1178.71,"$1,000","$2,000"
4939.23,"$2,000","$5,000"
6.79,$1,"$1,000"
33109.93,"$25,000","$100,000"
2526.8,"$2,000","$5,000"
1876.62,"$1,000","$2,000"
213.41,$1,"$1,000"
672.95,$1,"$1,000"
1110.73,"$1,000","$2,000"
22161.61,"$5,000","$25,000"
34.55,$1,"$1,000"
171.38,$1,"$1,000"
158.66,$1,"$1,000"
5261.61,"$5,000","$25,000"
43.5,$1,"$1,000"
855.44,$1,"$1,000"
212.52,$1,"$1,000"
4207.65,"$2,000","$5,000"
1102.48,"$1,000","$2,000"
116.86,$1,"$1,000"
593.88,$1,"$1,000"
10760.76,"$5,000","$25,000"
312.7,$1,"$1,000"
34.74,$1,"$1,000"
416.93,$1,"$1,000"
173.72,$1,"$1,000"
3097.05,"$2,000","$5,000"
2729510.32,"$1,000,000","$9,999,999"
1408.1,"$1,000","$2,000"
3665.39,"$2,000","$5,000"
7249.65,"$5,000","$25,000"
36659.65,"$25,000","$100,000"
39484.69,"$25,000","$100,000"
67023.84,"$25,000","$100,000"
181755.53,"$100,000","$250,000"
79479.17,"$25,000","$100,000"
43731.78,"$25,000","$100,000"
5266.29,"$5,000","$25,000"
229675.4,"$100,000","$250,000"
2882.57,"$2,000","$5,000"
78436.03,"$25,000","$100,000"
390105.08,"$250,000","$500,000"
44552.99,"$25,000","$100,000"
179861.49,"$100,000","$250,000"
96611.96,"$25,000","$100,000"
433665.68,"$250,000","$500,000"
175474.88,"$100,000","$250,000"
29075.97,"$25,000","$100,000"
3546.5,"$2,000","$5,000"
187710.78,"$100,000","$250,000"
14084.06,"$5,000","$25,000"
5770.54,"$5,000","$25,000"
34978.37,"$25,000","$100,000"
12370.4,"$5,000","$25,000"
46835.28,"$25,000","$100,000"
59675.2,"$25,000","$100,000"
62574.12,"$25,000","$100,000"
50806.13,"$25,000","$100,000"
86677.4,"$25,000","$100,000"
123628.51,"$100,000","$250,000"
2625507.64,"$1,000,000","$9,999,999"
42079.02,"$25,000","$100,000"
636976.55,"$500,000","$1,000,000"
43633.84,"$25,000","$100,000"
100901.72,"$100,000","$250,000"
2863.91,"$2,000","$5,000"
1463.66,"$1,000","$2,000"
218735.12,"$100,000","$250,000"
26940.33,"$25,000","$100,000"
525544.51,"$500,000","$1,000,000"
36735.76,"$25,000","$100,000"
115305.47,"$100,000","$250,000"
134314.78,"$100,000","$250,000"
42438.26,"$25,000","$100,000"
23035.5,"$5,000","$25,000"
137531.01,"$100,000","$250,000"
-164.61,"($99,000)",$1
31709.32,"$25,000","$100,000"
21218.44,"$5,000","$25,000"
69418.83,"$25,000","$100,000"
1981.41,"$1,000","$2,000"
11206.19,"$5,000","$25,000"
88442.91,"$25,000","$100,000"
71816.56,"$25,000","$100,000"
14692.17,"$5,000","$25,000"
4723.65,"$2,000","$5,000"
20471.85,"$5,000","$25,000"
543.88,$1,"$1,000"
36625.33,"$25,000","$100,000"
26481.91,"$25,000","$100,000"
48005.24,"$25,000","$100,000"
647503.62,"$500,000","$1,000,000"
14548.81,"$5,000","$25,000"
10600.56,"$5,000","$25,000"
53043.14,"$25,000","$100,000"
284295.65,"$250,000","$500,000"
70748.62,"$25,000","$100,000"
6639.39,"$5,000","$25,000"
2147.95,"$2,000","$5,000"
46214.97,"$25,000","$100,000"
42020.45,"$25,000","$100,000"
1983.98,"$1,000","$2,000"
1668.42,"$1,000","$2,000"
748.24,$1,"$1,000"
4594.43,"$2,000","$5,000"
104917.26,"$100,000","$250,000"
56005.87,"$25,000","$100,000"
4856,"$2,000","$5,000"
19111.33,"$5,000","$25,000"
11949.19,"$5,000","$25,000"
26256.38,"$25,000","$100,000"
34389.43,"$25,000","$100,000"
5284.35,"$5,000","$25,000"
342738.78,"$250,000","$500,000"
3058.43,"$2,000","$5,000"
15016.94,"$5,000","$25,000"
27483.98,"$25,000","$100,000"
15579.55,"$5,000","$25,000"
5936.85,"$5,000","$25,000"
7518.78,"$5,000","$25,000"
27817.65,"$25,000","$100,000"
190043.92,"$100,000","$250,000"
47470.87,"$25,000","$100,000"
5017.67,"$5,000","$25,000"
3248.54,"$2,000","$5,000"
90767.57,"$25,000","$100,000"
15708.33,"$5,000","$25,000"
18132.56,"$5,000","$25,000"
2167,"$2,000","$5,000"
15812.23,"$5,000","$25,000"
4258.12,"$2,000","$5,000"
7761.52,"$5,000","$25,000"
15739.58,"$5,000","$25,000"
27483.16,"$25,000","$100,000"
6645.38,"$5,000","$25,000"
7814.25,"$5,000","$25,000"
13007.42,"$5,000","$25,000"
61758.71,"$25,000","$100,000"
12173.26,"$5,000","$25,000"
2517.34,"$2,000","$5,000"
12432.26,"$5,000","$25,000"
2014.3,"$2,000","$5,000"
14131.53,"$5,000","$25,000"
7031.01,"$5,000","$25,000"
11236.84,"$5,000","$25,000"
-1559.81,"($99,000)",$1
2745.11,"$2,000","$5,000"
13051.98,"$5,000","$25,000"
7147.12,"$5,000","$25,000"
11767.19,"$5,000","$25,000"
28123.81,"$25,000","$100,000"
29106.28,"$25,000","$100,000"
2035.3,"$2,000","$5,000"
324835.94,"$250,000","$500,000"
34650.54,"$25,000","$100,000"
12030.05,"$5,000","$25,000"
13207.94,"$5,000","$25,000"
12834.82,"$5,000","$25,000"
2675.36,"$2,000","$5,000"
11340.94,"$5,000","$25,000"
13476.98,"$5,000","$25,000"
3675.29,"$2,000","$5,000"
8550.58,"$5,000","$25,000"
2608.67,"$2,000","$5,000"
32094.03,"$25,000","$100,000"
44086.31,"$25,000","$100,000"
136949.48,"$100,000","$250,000"
15654.49,"$5,000","$25,000"
4848.74,"$2,000","$5,000"
100906.72,"$100,000","$250,000"
43646.67,"$25,000","$100,000"
2228.94,"$2,000","$5,000"
15948.15,"$5,000","$25,000"
618.24,$1,"$1,000"
59323.44,"$25,000","$100,000"
551.51,$1,"$1,000"
9015.81,"$5,000","$25,000"
9075.67,"$5,000","$25,000"
58270.73,"$25,000","$100,000"
96430.39,"$25,000","$100,000"
17087.96,"$5,000","$25,000"
228441.49,"$100,000","$250,000"
2522.09,"$2,000","$5,000"
17944.86,"$5,000","$25,000"
1498.73,"$1,000","$2,000"
58013.79,"$25,000","$100,000"
615695.56,"$500,000","$1,000,000"
213.99,$1,"$1,000"
3768.07,"$2,000","$5,000"
580.39,$1,"$1,000"
1402.56,"$1,000","$2,000"
325220.57,"$250,000","$500,000"
31812.21,"$25,000","$100,000"
4631.06,"$2,000","$5,000"
1450.28,"$1,000","$2,000"
641.37,$1,"$1,000"
8430.85,"$5,000","$25,000"
1069.6,"$1,000","$2,000"
1577.99,"$1,000","$2,000"
321.07,$1,"$1,000"
4266.36,"$2,000","$5,000"
2538.61,"$2,000","$5,000"
51464.8,"$25,000","$100,000"
477.87,$1,"$1,000"
2436.07,"$2,000","$5,000"
2500.42,"$2,000","$5,000"
77040.68,"$25,000","$100,000"
28.81,$1,"$1,000"
1781.36,"$1,000","$2,000"
1024.9,"$1,000","$2,000"
4191.94,"$2,000","$5,000"
3088.39,"$2,000","$5,000"
90.39,$1,"$1,000"
2926.53,"$2,000","$5,000"
250.03,$1,"$1,000"
